epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
169.0,85.0,2101.0,845.0,10000.0,4.7596383,135.0,135.0,0.0035515227,0.002,,0.0055,0.618254,
234.0,61.0,3550.0,1170.0,20000.0,5.633803,200.0,167.5,0.0015186875,0.002,,0.001,0.6126987,
294.0,68.0,5622.0,1470.0,30000.0,5.3361793,148.0,161.0,-0.0066766073,0.002,,0.001,0.59284186,
352.0,139.0,7578.0,1760.0,40000.0,5.2784376,200.0,170.75,0.0060241153,0.002,,0.001,0.5957052,
405.0,73.0,9633.0,2025.0,50000.0,5.190491,200.0,176.6,0.0011666357,0.002,,0.001,0.5764377,
459.0,93.0,11705.0,2295.0,60000.0,5.1260147,200.0,180.5,0.0036801756,0.002,,0.001,0.587185,
511.0,180.0,13729.0,2555.0,70000.0,5.098696,200.0,183.28572,0.008169807,0.002,,0.001,0.57761014,
566.0,46.0,15869.0,2830.0,80000.0,5.0412755,136.0,177.375,0.009034579,0.002,,0.001,0.5658718,
617.0,182.0,17919.0,3085.0,90000.0,5.0226016,191.0,178.88889,-0.002226154,0.002,,0.001,0.5800002,
677.0,8.0,19566.0,3385.0,100000.0,5.1109066,136.0,174.6,0.009221815,0.002,,0.001,0.5747483,
