epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
157.0,58.0,1050.0,785.0,10000.0,9.523809,200.0,200.0,0.049231995,0.002,,0.0055,0.6011096,
219.0,186.0,2079.0,1095.0,20000.0,9.620009,200.0,200.0,0.36545718,0.002,,0.001,0.5793113,
272.0,103.0,3090.0,1360.0,30000.0,9.708738,200.0,200.0,0.031946,0.002,,0.001,0.5815035,
325.0,129.0,4171.0,1625.0,40000.0,9.590026,140.0,185.0,0.034728453,0.002,,0.001,0.5531917,
391.0,135.0,5282.0,1955.0,50000.0,9.466111,145.0,177.0,-0.23560776,0.002,,0.001,0.58170426,
444.0,58.0,6387.0,2220.0,60000.0,9.394082,200.0,180.83333,0.836475,0.002,,0.001,0.5311822,
497.0,181.0,7512.0,2485.0,70000.0,9.318424,200.0,183.57143,-0.13452476,0.002,,0.001,0.543732,
549.0,184.0,8626.0,2745.0,80000.0,9.274287,200.0,185.625,-0.001331336,0.002,,0.001,0.53080744,
599.0,184.0,9736.0,2995.0,90000.0,9.244042,200.0,187.22223,-0.55507994,0.002,,0.001,0.5538905,
650.0,47.0,10814.0,3250.0,100000.0,9.2472725,200.0,188.5,-0.33110335,0.002,,0.001,0.5376315,
